Title,Description,HTML,Content
Illinois Climate Network: Soil Data,The Illinois State Water Survey’s Illinois Climate Network (ICN) monitors soil conditions at 19 stations in Illinois.  Hourly and daily data are available for soil temperatures (under sod and bare) and moisture levels.,none,"DataSummaryThe Illinois State Water Survey’s Illinois Climate Network (ICN) monitors soil conditions at 19 stations in Illinois.  Hourly and daily data are available for soil temperatures (under sod and bare) and moisture levels.


Viewer"
Illinois Climate Network: Weather Data,The Illinois State Water Survey’s Illinois Climate Network (ICN) monitors weather conditions at 19 stations in Illinois.  Hourly and daily data are available from 1989 to the present.,none,"DataSummaryThe Illinois State Water Survey’s Illinois Climate Network (ICN) monitors weather conditions at 19 stations in Illinois.  Hourly and daily data are available from 1989 to the present.


Viewer"
"Airborne transient electromagnetic survey data, southwest Lake Michigan coast, April 2017","Airborne transient electromagnetic (TEM) method was used along the southwest shore of Lake Michigan to map thickness and distribution of the unconsolidated sand covering the beach and the near shore area (up to 1 km into the lake).  From Kenosha, WI to the Illinois-Indiana border, a total of 1049 line-km of TEM data were acquired.  Sand distribution and thickness was estimated from conversion of the resistivity values from TEM data into lithology.  Through resistivity to lithology conversion, we were also able to estimate thickness and distribution of clay (glacial sediments) and dolomite (bedrock) under the lake bed.  A brief description of the comparison of geophysical results to lithology is provided in:  Mwakanyamale, K.E., Brown, S.E., & Theuerkauf, E.J. (2020).  Delineating spatial distribution and thickness of unconsolidated sand along the southwest Lake Michigan shoreline using TEM and ERT geophysical methods, Journal of Great Lakes Research, 46(6), 1544-1330, https://doi.org/10.1016/j.jglr.2020.08.002.  This project was funded by the Illinois Department of Natural Resources, Coastal Management Program as a part of the National Oceanic and Atmospheric Administration, Office of Coastal Management, Projects of Special Merit Award Competition, Award No. NA16NOS4190151.",none,"DataSummaryAirborne transient electromagnetic (TEM) method was used along the southwest shore of Lake Michigan to map thickness and distribution of the unconsolidated sand covering the beach and the near shore area (up to 1 km into the lake).  From Kenosha, WI to the Illinois-Indiana border, a total of 1049 line-km of TEM data were acquired.  Sand distribution and thickness was estimated from conversion of the resistivity values from TEM data into lithology.  Through resistivity to lithology conversion, we were also able to estimate thickness and distribution of clay (glacial sediments) and dolomite (bedrock) under the lake bed.  A brief description of the comparison of geophysical results to lithology is provided in:  Mwakanyamale, K.E., Brown, S.E., & Theuerkauf, E.J. (2020).  Delineating spatial distribution and thickness of unconsolidated sand along the southwest Lake Michigan shoreline using TEM and ERT geophysical methods, Journal of Great Lakes Research, 46(6), 1544-1330, https://doi.org/10.1016/j.jglr.2020.08.002.  This project was funded by the Illinois Department of Natural Resources, Coastal Management Program as a part of the National Oceanic and Atmospheric Administration, Office of Coastal Management, Projects of Special Merit Award Competition, Award No. NA16NOS4190151.


Data 
 
 
All the data are georeferenced to WGS_1984 UTM Zone 16 and require 430Mb of uncompressed space. Folder structure and contents:
Root -- SkyTEM project report and journal article in *.pdf format
Isopach_Data -- isopachous (thickness) maps in raster format (*.tif and GS7BG – Golden Software Surfer 7 Binary Grid *.grd). Cell value unit is meters and the grid spacing is approximately 50 meters.
Project_Extent -- project extent boundary (polygon shapefile format) and helicopter flight routes (line shapefile)
Videos -- video (*.mp4 format) files showing virtual flyover through the 3D thickness data from south (Chicago area) to north Kenosha (area) as depicted in GeoScene 3D software.
Zip Data:  HTEM_LMCoast.zip (376.36 MB)"
