Title,Date,Publisher,Description,Metadata
"(u'Water Trails within the Susquehanna River Basin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u""Polyline shapefile depicting water trails in the Susquehanna River Basin.  The Pennsylvania Fish and Boat Commission defines water trails as recreational corridors between specific locations that can be used for both single day and multiple day trips. They provide safe access to and information about Pennsylvania's waterways while also providing connections to our history, ecology, geology, heritage and wildlife.  There are 10 water trails which cover the following 8 rivers: Susquehanna River (lower, middle, & north), West Branch Susquehanna River, Juniata River, Raystown Branch Juniata River, Swatara Creek, Chemung River, Conodoguinet Creek, and Conestoga River."",)","(u'FullMetadataDisplay.aspx?file=WtrTrails_SRBC.xml',)"
"(u'Delaware River Basin creeks and rivers',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'creeks and rivers clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_riv_arc.xml',)"
"(u'Tornados Pennsylvania 1950 to 2004',)","(u'2005',)","(u'National Weather Service NOAA NWS',)","(u'This map layer shows tornado touchdown points in the United States, Puerto\r\nRico, and the U.S. Virgin Islands, from 1950 to 2004.  Statistical data\r\nwere obtained from the National Weather Service, Storm Prediction Center\r\n(SPC).  The SPC data originate from the Severe Thunderstorm Database and\r\nthe National Oceanic and Atmospheric Administration (NOAA) Storm Data\r\npublication. This layer is clipped to Pennsylvania',)","(u'FullMetadataDisplay.aspx?file=Tornados_Pennsylvania.xml',)"
"(u'Delaware Water Gap landuse',)","(u'2000',)","(u'U S Geological Survey',)","(u'Landuse for the Delaware Water Gap and Surrounding watersheds and tributaries',)","(u'FullMetadataDisplay.aspx?file=delgap_landuse.xml',)"
"(u'Landscape Ecological Assessment of the Chesapeake Bay Watershed',)","(u'2000',)","(u'Chesapeake Bay Program',)","(u""Multiple TIFF and layer files pertaining to Landscape ecological assessment of the Chesapeake Bay watershed. The Chesapeake Bay Watershed, located in the Mid-Atlantic Region of the United States, is experiencing rapid habitat loss and fragmentation from sprawling low-density development. The bay itself is heavily stressed by excess sediment and nutrient runoff. Three states, the District of Columbia, and the federal government signed an agreement in 2000 to address these problems. The commitments included an assessment of the watershed's resource lands, and targeting the most valued lands for protection. As part of this task, the Resource Lands Assessment identified an ecological network comprised of large contiguous blocks (hubs) of forests, wetlands, and streams, interconnected by corridors to allow animal and plant propagule dispersal and migration. Hubs were prioritized by ecoregion, by analyzing a variety of ecological parameters, including: rare species presence, rarity and population viability; vegetation and vertebrate richness; habitat area, condition, and diversity; intactness and remoteness; connectivity potential; and the nature of the surrounding landscape. I found that much of the watershed was still fairly intact, although this varied dramatically by ecoregion. Current protection also varied, and an assessment of vulnerability will help focus protection efforts among the most valuable hubs and corridors. MORE INFORMATION -"",)","(u'FullMetadataDisplay.aspx?file=chesapeakebaylandscapeecological.xml',)"
"(u'Delaware River boundary',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Boundary of the Delaware river within the Delaware River Basin.',)","(u'FullMetadataDisplay.aspx?file=delawareriver.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Current State and Equivalent State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaStateEquivalentStatebased2009.xml',)"
"(u'Abandoned Mine Land Inventory Polygons',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'This data set portrays the approximate location of Abandoned Mine Land Problem Areas containing public health, safety, and public welfare problems created by past coal mining. It is a subset of data contained in the Office of Surface Mining (OSM) Abandoned Mine Land Inventory.  This layer identifies AML Polygons representing specific areas to large to be represented by points within the entire, AML Inventory Site, examples include AML dangerous highwalls.',)","(u'FullMetadataDisplay.aspx?file=AMLInventoryPolys2018_01.xml',)"
"(u'Watersheds for New Jersey clipped to the Delaware River Basin',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Watersheds for New Jersey coded to 14 digit Hydrologic Unit Codes (HUC) clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=nj_wshed_polygon.xml',)"
"(u'Stratification of New York',)","(u'2002',)","(u'U S Department of Agriculture',)","(u'The United States Department of Agriculture (USDA), National Agricultural Statistics Service (NASS) area sampling frame is a delineation of all parcels of land for the purpose of later sampling the parcels. The area frame is constructed by visually interpreting satellite imagery to divide a state into homogenous land use areas (strata) based on percent cultivated. The strata are typically defined as low, medium or high percent cultivated, non-agricultural land, urban use, agri-urban, or water. The boundaries of the strata usually follow identifiable features such as roads, railroads and waterways. The strata boundaries do not coincide with any political boundaries, with the exception of state boundaries.',)","(u'FullMetadataDisplay.aspx?file=usdany_strata2002.xml',)"
"(u'Major Watersheds of the Susquehanna River Basin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u""Polygon shapefile that includes the major watersheds of the Susquehanna River Basin (2006 boundary).  This file was created by dissolving the wshed24K dataset into the major watersheds.  The groupings were defined by the needs of the Susquehanna River Basin Commission (SRBC) and represent the SRBC's interpretation of major watersheds in the Susquehanna River Basin.  This file was created to work in tandem with wshed24k.shp, subbasin.shp, and srb.shp.   This dataset does not match the Hydrologic Unit Code (HUC) 11 digit watersheds."",)","(u'FullMetadataDisplay.aspx?file=wshedmjr_SRBC.xml',)"
"(u'PAMAP Program - Municipal Boundaries',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of county and municipal boundaries aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_MuniBoundaries2007.xml',)"
